transaction_id,account_id,tran_date,settle_date,merchant_id,transaction_type,amount_in_actual_currency,conversion_rate,final_amount,amount_settled
262,1041,2024-09-20,2024-09-22,2011,Debit,366.63,0.98,359.3,366.63
263,1081,2024-12-28,2024-12-31,2001,Credit,18.71,0.98,18.34,18.71
264,1036,2024-11-25,2024-11-26,2005,Debit,331.64,1.05,348.22,331.64
265,1088,2024-04-10,2024-04-12,2017,Credit,128.33,0.91,116.78,128.33
266,1076,2024-10-16,2024-10-20,2003,Credit,20.39,1.09,22.23,20.39
267,1020,2024-03-27,2024-03-29,2008,Debit,241.83,0.96,232.16,241.83
268,1025,2024-03-06,2024-03-08,2018,Credit,360.37,1.03,371.18,360.37
269,1009,2024-11-02,2024-11-05,2018,Debit,168.92,0.95,160.47,168.92
270,1037,2024-09-12,2024-09-13,2005,Debit,73.96,0.93,68.78,73.96
271,1024,2024-08-20,2024-08-23,2016,Debit,469.06,0.94,440.92,469.06
272,1022,2024-05-09,2024-05-13,2005,Debit,274.15,0.97,265.93,274.15
273,1001,2024-05-22,2024-05-24,2012,Credit,65.63,1.06,69.57,65.63
274,1046,2024-06-03,2024-06-04,2002,Credit,320.45,1.09,349.29,320.45
275,1095,2024-02-15,2024-02-16,2012,Debit,116.9,1.08,126.25,116.9
276,1067,2024-04-17,2024-04-20,2017,Credit,294.19,0.97,285.36,294.19
277,1026,2024-05-12,2024-05-13,2001,Debit,80.45,1.08,86.89,80.45
278,1067,2024-01-10,2024-01-12,2005,Debit,118.35,1.05,124.27,118.35
279,1094,2024-01-25,2024-01-28,2020,Debit,346.11,1.1,380.72,346.11
280,1061,2024-12-05,2024-12-08,2006,Debit,469.12,0.93,436.28,469.12
281,1066,2024-10-10,2024-10-12,2018,Debit,171.69,1.09,187.14,171.69
282,1023,2024-04-25,2024-04-28,2013,Credit,365.45,1.0,365.45,365.45
283,1057,2024-02-07,2024-02-08,2004,Credit,484.72,1.0,484.72,484.72
284,1068,2024-11-06,2024-11-07,2012,Credit,248.86,1.06,263.79,248.86
285,1031,2024-09-27,2024-09-29,2011,Credit,112.38,1.03,115.75,112.38
286,1042,2024-02-14,2024-02-16,2007,Credit,109.04,0.93,101.41,109.04
287,1064,2024-09-19,2024-09-20,2015,Debit,87.53,0.93,81.4,87.53
288,1012,2024-03-22,2024-03-25,2011,Debit,37.21,1.09,40.56,37.21
289,1055,2024-11-26,2024-11-29,2004,Debit,424.84,0.94,399.35,424.84
290,1016,2024-02-16,2024-02-19,2007,Debit,357.55,1.06,379.0,357.55
291,1090,2024-11-14,2024-11-16,2005,Debit,341.09,0.92,313.8,341.09
292,1044,2024-04-04,2024-04-08,2016,Credit,319.61,0.91,290.85,319.61
293,1055,2024-02-15,2024-02-18,2006,Debit,129.91,1.0,129.91,129.91
294,1096,2024-12-21,2024-12-24,2016,Credit,251.47,1.07,269.07,251.47
295,1065,2024-07-05,2024-07-06,2012,Debit,393.72,1.09,429.15,393.72
296,1023,2024-02-12,2024-02-16,2015,Debit,151.55,0.9,136.4,151.55
297,1062,2024-07-23,2024-07-26,2005,Credit,389.4,0.98,381.61,389.4
298,1076,2024-05-10,2024-05-13,2018,Credit,165.67,1.07,177.27,165.67
299,1031,2024-11-02,2024-11-05,2020,Debit,231.3,1.01,233.61,231.3
300,1069,2024-11-23,2024-11-24,2020,Credit,232.29,1.0,232.29,232.29
301,1064,2024-06-14,2024-06-16,2017,Credit,259.23,0.99,256.64,259.23
302,1095,2024-02-22,2024-02-25,2020,Credit,29.56,0.99,29.26,29.56
303,1089,2024-10-05,2024-10-07,2014,Debit,11.98,1.07,12.82,11.98
304,1039,2024-05-10,2024-05-11,2001,Debit,87.29,0.94,82.05,87.29
305,1005,2024-03-05,2024-03-06,2007,Debit,156.78,0.93,145.81,156.78
306,1010,2024-08-11,2024-08-14,2015,Debit,198.21,0.96,190.28,198.21
307,1079,2024-06-08,2024-06-12,2011,Credit,14.91,1.08,16.1,14.91
308,1052,2024-07-31,2024-08-04,2018,Credit,364.88,1.05,383.12,364.88
309,1076,2024-12-21,2024-12-22,2011,Credit,199.34,0.91,181.4,199.34
310,1096,2024-11-24,2024-11-25,2011,Credit,312.63,0.96,300.12,312.63
311,1003,2024-10-17,2024-10-19,2012,Credit,138.82,1.05,145.76,138.82
312,1089,2024-12-17,2024-12-18,2014,Credit,450.44,1.03,463.95,450.44
313,1094,2024-04-23,2024-04-27,2014,Credit,424.13,0.91,385.96,424.13
314,1067,2024-01-01,2024-01-05,2002,Debit,463.38,1.05,486.55,463.38
315,1068,2024-03-13,2024-03-14,2007,Debit,381.7,1.1,419.87,381.7
316,1084,2024-12-01,2024-12-03,2001,Debit,315.24,1.09,343.61,315.24
317,1011,2024-10-15,2024-10-18,2014,Credit,53.93,1.08,58.24,53.93
318,1092,2024-06-27,2024-06-29,2005,Credit,277.98,1.1,305.78,277.98
319,1053,2024-07-30,2024-07-31,2015,Debit,377.7,1.09,411.69,377.7
320,1081,2024-01-02,2024-01-03,2018,Debit,393.01,1.07,420.52,393.01
321,1056,2024-05-28,2024-05-29,2012,Debit,97.11,0.95,92.25,97.11
322,1010,2024-05-22,2024-05-25,2007,Credit,298.44,1.08,322.32,298.44
323,1077,2024-03-17,2024-03-20,2017,Debit,458.43,1.06,485.94,458.43
324,1082,2024-01-05,2024-01-07,2003,Debit,220.95,1.07,236.42,220.95
325,1064,2024-01-09,2024-01-13,2001,Debit,51.17,1.02,52.19,51.17
326,1004,2024-01-18,2024-01-20,2009,Debit,447.03,0.96,429.15,447.03
327,1014,2024-07-17,2024-07-18,2003,Debit,123.76,0.96,118.81,123.76
328,1065,2024-11-06,2024-11-08,2011,Credit,490.11,1.06,519.52,490.11
329,1056,2024-01-16,2024-01-17,2008,Credit,354.52,1.09,386.43,354.52
330,1032,2024-11-21,2024-11-25,2019,Credit,402.68,1.02,410.73,402.68
