transaction_id,account_id,tran_date,settle_date,merchant_id,transaction_type,amount_in_actual_currency,conversion_rate
81,2654,2024-07-15,2024-07-19,2507,Credit,351.11,1.0
82,2610,2024-10-03,2024-10-07,2996,Credit,367.58,0.91
83,2020,2024-03-31,2024-04-02,2395,Credit,275.39,0.99
84,1270,2024-07-20,2024-07-23,2386,Credit,153.33,0.93
85,1268,2024-09-25,2024-09-26,2376,Credit,157.75,1.02
86,1562,2024-03-21,2024-03-25,2477,Debit,462.93,0.91
87,1084,2024-02-12,2024-02-13,2840,Debit,134.62,0.95
88,1429,2024-03-17,2024-03-18,2360,Debit,177.85,0.9
89,1217,2024-08-22,2024-08-26,2740,Debit,73.76,0.92
90,1008,2024-10-05,2024-10-06,2401,Debit,324.98,0.92
91,1851,2024-10-17,2024-10-19,2875,Credit,338.53,0.97
92,1085,2024-02-04,2024-02-08,2189,Debit,324.15,0.99
93,1536,2024-10-16,2024-10-19,2447,Debit,134.83,1.06
94,2449,2024-02-28,2024-03-01,2102,Debit,131.81,1.03
95,1376,2024-06-12,2024-06-14,2441,Credit,361.24,1.09
96,1516,2024-10-12,2024-10-13,2164,Credit,325.97,1.04
97,2492,2024-03-07,2024-03-10,2149,Credit,388.87,0.96
98,1908,2024-06-17,2024-06-18,2844,Debit,490.87,1.04
99,2408,2024-08-31,2024-09-02,2571,Debit,220.77,1.02
100,2860,2024-09-26,2024-09-30,2556,Debit,51.59,1.01
101,2164,2024-06-16,2024-06-17,2810,Credit,211.42,0.96
102,1441,2024-01-24,2024-01-26,2822,Debit,441.5,1.0
103,2237,2024-07-26,2024-07-28,2418,Debit,29.19,0.94
104,1976,2024-02-20,2024-02-22,2308,Debit,393.32,0.93
105,1135,2024-08-14,2024-08-15,2450,Debit,279.14,0.95
106,1263,2024-09-22,2024-09-25,2036,Credit,461.87,0.95
107,2984,2024-09-06,2024-09-09,2493,Credit,46.51,1.0
108,1319,2024-07-27,2024-07-31,2708,Debit,406.17,0.93
109,2001,2024-04-23,2024-04-24,2499,Credit,389.98,0.94
110,2186,2024-03-10,2024-03-12,2040,Credit,111.52,0.97
111,2126,2024-01-27,2024-01-31,2878,Credit,489.12,0.9
112,1485,2024-09-15,2024-09-18,2899,Debit,61.87,1.08
113,2954,2024-05-14,2024-05-16,2931,Debit,436.08,1.03
114,1036,2024-03-23,2024-03-25,2467,Debit,107.85,0.91
115,2730,2024-03-27,2024-03-28,2701,Debit,128.73,1.0
116,2030,2024-02-05,2024-02-06,2270,Credit,276.46,0.99
117,1129,2024-02-16,2024-02-18,2858,Debit,422.45,1.05
118,1737,2024-08-25,2024-08-26,2274,Debit,339.53,1.03
119,1838,2024-05-09,2024-05-11,2232,Credit,74.7,1.08
120,1555,2024-05-02,2024-05-03,2121,Debit,274.78,0.95
121,2973,2024-10-04,2024-10-05,2577,Credit,348.72,0.9
122,1898,2024-05-28,2024-05-30,2510,Debit,205.17,0.94
123,1203,2024-11-07,2024-11-08,2600,Credit,113.87,0.97
124,2544,2024-09-29,2024-10-01,2907,Credit,367.16,0.94
125,1271,2024-12-25,2024-12-27,2350,Debit,58.36,1.0
126,2831,2024-05-13,2024-05-17,2122,Debit,72.59,1.05
127,2710,2024-07-16,2024-07-17,2610,Debit,24.0,1.02
128,1287,2024-09-15,2024-09-16,2691,Debit,19.55,0.9
129,2146,2024-03-20,2024-03-22,2916,Debit,174.26,0.93
130,1434,2024-08-09,2024-08-12,2351,Debit,26.25,0.92
131,2747,2024-12-16,2024-12-20,2904,Debit,439.15,0.91
132,1160,2024-01-28,2024-01-31,2528,Debit,198.01,0.91
133,1509,2024-01-15,2024-01-17,2872,Debit,457.35,1.01
134,1773,2024-02-29,2024-03-02,2681,Credit,218.77,1.04
135,2117,2024-08-03,2024-08-05,2113,Debit,296.44,0.92
136,1688,2024-06-11,2024-06-13,2126,Debit,497.78,1.03
137,1250,2024-12-24,2024-12-26,2399,Credit,440.66,0.92
138,2489,2024-07-04,2024-07-05,2883,Debit,322.55,0.99
139,1581,2024-06-20,2024-06-23,2985,Debit,470.63,1.06
140,1995,2024-04-12,2024-04-16,2400,Debit,119.74,1.05
141,2602,2024-12-31,2025-01-02,2381,Debit,181.75,1.02
142,2523,2024-11-25,2024-11-26,2257,Credit,403.06,1.01
143,2280,2024-09-18,2024-09-19,2033,Debit,490.94,1.03
144,1127,2024-11-30,2024-12-01,2412,Debit,277.47,1.05
145,2119,2024-04-17,2024-04-21,2699,Credit,145.19,0.94
146,2583,2024-04-06,2024-04-07,2491,Debit,422.3,1.08
147,2802,2024-05-20,2024-05-24,2188,Credit,108.68,0.98
148,1613,2024-02-05,2024-02-07,2076,Debit,404.52,1.09
149,2331,2024-12-08,2024-12-10,2401,Credit,338.2,1.03
150,1970,2024-12-13,2024-12-15,2045,Credit,333.73,0.91
151,1396,2024-09-03,2024-09-05,2982,Credit,352.85,0.96
152,2105,2024-07-06,2024-07-08,2190,Debit,161.41,0.94
153,1308,2024-02-17,2024-02-21,2635,Credit,148.91,0.94
154,1998,2024-05-31,2024-06-02,2546,Debit,392.23,0.92
155,2819,2024-03-01,2024-03-03,2913,Debit,369.31,1.03
156,2628,2024-01-08,2024-01-09,2458,Credit,321.48,0.99
157,1840,2024-09-15,2024-09-18,2168,Debit,138.47,1.06
158,2411,2024-10-11,2024-10-13,2402,Debit,236.58,0.92
159,2287,2024-10-27,2024-10-30,2579,Credit,480.53,1.05
160,1167,2024-06-03,2024-06-06,2561,Debit,408.81,0.96
161,1078,2024-01-19,2024-01-22,2004,Debit,357.59,0.95
162,2960,2024-11-14,2024-11-15,2371,Debit,363.09,0.91
163,2059,2024-10-28,2024-10-30,2714,Credit,479.74,1.01
164,1171,2024-05-26,2024-05-29,2302,Credit,188.17,1.06
165,1194,2024-05-10,2024-05-11,2914,Debit,265.04,0.94
166,1228,2024-07-28,2024-08-01,2751,Debit,435.44,1.02
167,2745,2024-03-25,2024-03-26,2324,Debit,463.79,1.07
168,2151,2024-11-17,2024-11-19,2789,Credit,175.89,1.0
169,2591,2024-08-10,2024-08-14,2659,Credit,475.21,0.91
170,1130,2024-06-15,2024-06-19,2921,Debit,124.25,0.98
171,1101,2024-03-08,2024-03-11,2556,Debit,19.46,1.03
172,2712,2024-10-30,2024-11-03,2869,Debit,382.72,1.07
173,2442,2024-12-31,2025-01-04,2778,Debit,368.34,0.97
174,2353,2024-09-17,2024-09-18,2912,Credit,432.68,0.93
175,1559,2024-07-02,2024-07-03,2450,Debit,357.07,0.94
176,1163,2024-11-13,2024-11-15,2818,Credit,22.88,1.02
177,1044,2024-08-06,2024-08-08,2331,Debit,42.41,1.05
178,1469,2024-02-20,2024-02-22,2831,Debit,264.4,0.93
179,1331,2024-03-29,2024-04-02,2076,Debit,180.27,1.01
180,1198,2024-08-28,2024-09-01,2646,Credit,425.97,1.05
181,1972,2024-09-15,2024-09-17,2013,Debit,125.63,1.06
182,2024,2024-12-24,2024-12-28,2518,Debit,121.43,1.07
183,1875,2024-12-17,2024-12-18,2927,Credit,71.35,1.04
184,2559,2024-11-20,2024-11-21,2807,Debit,348.59,0.91
185,2473,2024-11-02,2024-11-05,2440,Debit,288.53,0.94
186,1861,2024-01-24,2024-01-26,2621,Credit,462.17,0.97
187,1754,2024-08-09,2024-08-11,2758,Debit,144.29,1.09
188,1166,2024-04-26,2024-04-29,2905,Credit,404.59,0.93
189,1801,2024-04-18,2024-04-19,2901,Credit,302.94,1.06
190,1226,2024-06-17,2024-06-18,2570,Credit,473.18,1.03
191,1111,2024-04-14,2024-04-18,2203,Credit,218.31,1.07
192,2533,2024-11-04,2024-11-07,2624,Credit,69.1,1.05
193,1536,2024-02-15,2024-02-19,2121,Credit,188.54,0.91
194,2526,2024-02-04,2024-02-08,2384,Credit,128.69,1.1
195,2602,2024-12-20,2024-12-24,2180,Debit,346.44,0.92
196,1766,2024-02-22,2024-02-26,2582,Debit,333.09,1.06
197,1550,2024-10-13,2024-10-15,2211,Debit,491.12,0.92
198,1674,2024-03-19,2024-03-21,2154,Debit,190.97,1.05
199,1362,2024-07-20,2024-07-21,2385,Debit,376.66,0.93
200,2588,2024-04-01,2024-04-03,2768,Debit,477.53,1.04
201,2835,2024-08-17,2024-08-18,2953,Debit,297.03,0.96
202,1565,2024-05-06,2024-05-10,2333,Credit,301.71,1.09
203,2794,2024-08-25,2024-08-28,2888,Credit,421.52,0.97
204,1214,2024-04-16,2024-04-17,2445,Credit,143.43,0.98
205,2109,2024-05-02,2024-05-05,2360,Credit,350.55,1.06
206,2104,2024-01-11,2024-01-13,2161,Debit,115.08,1.07
207,1476,2024-06-11,2024-06-14,2064,Credit,309.11,1.06
208,2758,2024-03-18,2024-03-19,2882,Credit,316.45,0.92
209,2785,2024-06-14,2024-06-16,2865,Credit,430.94,1.02
210,1747,2024-01-21,2024-01-25,2141,Debit,283.24,1.08
211,2640,2024-06-28,2024-06-30,2290,Debit,452.75,1.04
212,2919,2024-01-23,2024-01-27,2035,Credit,441.16,1.0
213,1973,2024-02-06,2024-02-09,2602,Debit,300.15,1.08
214,2774,2024-11-10,2024-11-13,2289,Credit,179.56,0.96
215,2786,2024-08-20,2024-08-21,2802,Credit,378.8,0.96
216,1054,2024-08-09,2024-08-10,2208,Credit,154.3,0.98
217,1237,2024-04-22,2024-04-24,2656,Debit,125.67,0.98
218,2429,2024-10-22,2024-10-23,2026,Credit,219.5,0.93
219,1224,2024-11-25,2024-11-27,2790,Credit,494.5,1.0
220,2638,2024-05-09,2024-05-13,2173,Debit,138.29,0.93
221,1190,2024-01-05,2024-01-06,2433,Credit,384.31,0.98
222,1571,2024-03-08,2024-03-12,2593,Debit,296.39,1.06
223,2503,2024-01-18,2024-01-22,2980,Debit,284.55,1.09
224,1080,2024-10-07,2024-10-09,2587,Credit,492.85,0.94
225,2701,2024-03-05,2024-03-09,2041,Credit,140.39,1.08
226,1018,2024-02-21,2024-02-24,2240,Debit,485.6,1.02
227,1207,2024-01-02,2024-01-04,2467,Credit,345.79,0.97
228,2740,2024-09-16,2024-09-17,2427,Credit,126.52,1.09
229,2908,2024-12-13,2024-12-14,2901,Credit,69.72,0.93
230,2400,2024-03-18,2024-03-21,2946,Credit,206.08,1.01
231,1781,2024-08-29,2024-09-02,2846,Credit,246.32,1.06
232,1648,2024-04-13,2024-04-15,2319,Debit,417.97,1.0
233,2709,2024-10-30,2024-10-31,2875,Credit,158.34,1.09
234,1486,2024-06-16,2024-06-17,2234,Credit,382.03,1.07
235,2845,2024-12-25,2024-12-29,2749,Credit,111.76,1.0
236,1670,2024-05-10,2024-05-14,2907,Debit,389.87,1.02
237,1834,2024-08-31,2024-09-01,2371,Debit,252.59,0.95
238,1288,2024-02-17,2024-02-18,2520,Debit,266.19,0.93
239,2211,2024-07-18,2024-07-20,2580,Debit,311.08,1.07
240,1339,2024-08-26,2024-08-30,2237,Debit,337.35,0.95
241,2303,2024-09-06,2024-09-09,2907,Credit,190.08,1.0
242,1174,2024-05-11,2024-05-15,2334,Credit,67.75,0.96
243,2217,2024-12-20,2024-12-23,2562,Credit,343.17,1.09
244,2479,2024-12-05,2024-12-09,2140,Debit,276.36,1.09
245,2408,2024-11-26,2024-11-28,2861,Debit,38.12,1.1
246,1673,2024-12-04,2024-12-08,2829,Credit,455.18,0.9
247,2865,2024-06-20,2024-06-22,2023,Credit,219.95,1.01
248,1143,2024-02-03,2024-02-05,2172,Debit,114.95,0.98
249,1581,2024-01-31,2024-02-04,2767,Credit,236.08,1.08
250,1923,2024-04-23,2024-04-26,2159,Debit,53.98,1.03
251,1930,2024-08-14,2024-08-16,2595,Credit,47.45,0.93
252,1974,2024-07-10,2024-07-12,2689,Debit,43.18,0.94
253,2369,2024-06-07,2024-06-11,2856,Credit,223.91,0.92
254,2068,2024-06-07,2024-06-11,2289,Credit,105.74,0.95
255,1492,2024-07-15,2024-07-16,2631,Debit,359.36,0.9
256,1501,2024-11-12,2024-11-13,2965,Credit,279.27,0.97
257,2120,2024-04-15,2024-04-17,2783,Credit,210.99,1.09
258,1043,2024-06-30,2024-07-04,2232,Debit,60.4,1.06
259,2459,2024-01-10,2024-01-12,2932,Debit,183.69,1.06
260,2057,2024-09-15,2024-09-16,2490,Credit,489.52,1.03
261,1327,2024-02-28,2024-02-29,2052,Credit,104.99,1.09
262,2817,2024-07-12,2024-07-15,2317,Debit,180.66,0.93
263,2270,2024-07-19,2024-07-23,2919,Debit,362.17,1.08
264,1751,2024-09-25,2024-09-27,2039,Credit,487.01,0.98
265,2858,2024-05-21,2024-05-22,2140,Credit,178.08,1.09
266,2506,2024-03-15,2024-03-17,2558,Debit,343.89,0.97
267,2148,2024-06-13,2024-06-15,2038,Debit,360.22,0.96
268,1072,2024-04-07,2024-04-10,2450,Credit,390.57,1.01
269,2190,2024-02-28,2024-03-03,2743,Credit,400.1,0.9
270,2850,2024-04-18,2024-04-22,2581,Credit,347.46,1.01
271,1282,2024-07-29,2024-08-01,2245,Credit,468.99,0.9
272,2494,2024-06-01,2024-06-05,2075,Debit,340.0,1.04
273,2677,2024-06-07,2024-06-10,2594,Debit,214.54,0.95
274,2299,2024-03-15,2024-03-19,2828,Credit,464.57,0.97
275,1542,2024-08-08,2024-08-09,2163,Debit,219.08,1.05
276,1064,2024-12-23,2024-12-25,2016,Debit,387.42,1.09
277,2733,2024-09-09,2024-09-13,2055,Debit,156.86,0.9
278,1023,2024-06-11,2024-06-12,2112,Credit,325.29,0.96
279,1546,2024-12-30,2025-01-03,2878,Credit,99.23,0.99
280,1273,2024-01-09,2024-01-13,2998,Debit,249.5,1.07
281,1307,2024-04-03,2024-04-04,2669,Credit,22.79,1.08
282,2965,2024-10-22,2024-10-25,2849,Credit,23.72,1.01
283,2233,2024-09-01,2024-09-04,2061,Credit,372.47,0.97
284,2831,2024-01-26,2024-01-27,2326,Credit,105.05,1.0
285,2607,2024-06-03,2024-06-06,2895,Credit,435.43,1.05
286,2713,2024-03-29,2024-03-30,2127,Debit,440.21,1.06
287,2558,2024-08-26,2024-08-29,2741,Debit,293.72,1.04
288,2793,2024-07-31,2024-08-02,2843,Debit,328.81,1.03
289,2294,2024-02-01,2024-02-03,2405,Credit,410.78,1.08
290,1782,2024-09-24,2024-09-28,2379,Credit,183.27,0.94
291,2153,2024-02-24,2024-02-25,2552,Credit,81.28,1.07
292,1067,2024-07-17,2024-07-20,2960,Debit,422.43,0.98
293,1498,2024-11-12,2024-11-16,2150,Credit,413.9,1.04
294,1729,2024-04-19,2024-04-21,2587,Debit,50.94,1.09
295,2720,2024-06-13,2024-06-14,2959,Credit,370.08,0.96
296,1319,2024-05-30,2024-05-31,2730,Debit,355.28,0.94
297,1487,2024-02-08,2024-02-10,2224,Debit,61.27,0.97
298,1895,2024-04-26,2024-04-28,2352,Credit,349.78,0.95
299,1465,2024-08-25,2024-08-26,2123,Credit,393.3,0.92
300,2980,2024-04-30,2024-05-04,2426,Credit,139.1,1.04
301,1589,2024-05-19,2024-05-23,2279,Credit,245.68,0.95
302,2276,2024-02-04,2024-02-08,2698,Credit,270.04,1.09
303,1866,2024-11-16,2024-11-18,2319,Credit,219.83,0.96
304,2100,2024-07-09,2024-07-13,2573,Debit,369.64,1.07
305,1029,2024-03-22,2024-03-24,2962,Credit,154.95,1.06
306,1589,2024-08-27,2024-08-30,2319,Debit,161.05,0.97
307,1408,2024-12-21,2024-12-22,2520,Credit,370.89,0.97
308,2714,2024-11-08,2024-11-12,2690,Debit,422.27,0.93
309,1228,2024-06-22,2024-06-26,2997,Credit,411.46,0.92
310,2756,2024-06-16,2024-06-17,2283,Debit,116.06,1.03
311,1553,2024-06-07,2024-06-11,2081,Debit,333.31,1.03
312,2460,2024-03-02,2024-03-06,2452,Credit,385.22,1.08
313,2655,2024-03-18,2024-03-21,2497,Debit,188.43,0.95
314,1243,2024-03-07,2024-03-08,2049,Debit,319.1,0.93
315,1319,2024-01-30,2024-02-03,2728,Credit,261.37,0.91
316,1470,2024-08-20,2024-08-23,2819,Credit,255.68,1.01
317,1848,2024-09-14,2024-09-17,2883,Debit,94.2,1.07
318,1369,2024-07-23,2024-07-25,2792,Credit,197.02,1.08
319,2018,2024-11-11,2024-11-15,2195,Debit,458.63,1.06
320,2529,2024-09-19,2024-09-20,2323,Credit,389.39,1.1
321,1434,2024-03-22,2024-03-26,2829,Credit,404.75,1.04
322,1300,2024-03-01,2024-03-02,2384,Debit,167.42,0.95
323,1775,2024-12-02,2024-12-05,2345,Debit,148.47,1.02
324,2510,2024-07-11,2024-07-14,2475,Credit,193.86,0.9
325,2670,2024-01-22,2024-01-25,2442,Credit,445.62,1.04
326,2477,2024-02-15,2024-02-18,2771,Debit,226.13,1.07
327,1428,2024-05-06,2024-05-10,2591,Credit,369.82,0.94
328,2685,2024-04-25,2024-04-29,2344,Credit,51.95,0.96
329,1710,2024-06-05,2024-06-09,2375,Debit,242.18,1.0
330,1602,2024-01-12,2024-01-13,2229,Credit,466.19,0.96
331,2679,2024-12-10,2024-12-14,2423,Debit,251.96,0.9
332,1507,2024-12-09,2024-12-10,2284,Debit,25.11,0.92
333,1226,2024-04-24,2024-04-28,2909,Credit,265.9,0.98
334,2865,2024-10-18,2024-10-19,2410,Debit,384.19,1.08
335,2948,2024-05-11,2024-05-13,2092,Credit,119.82,1.1
336,1771,2024-02-19,2024-02-20,2690,Debit,125.91,0.94
337,2671,2024-06-05,2024-06-06,2828,Credit,413.93,1.03
338,2033,2024-11-07,2024-11-08,2689,Debit,197.7,1.05
339,2149,2024-09-03,2024-09-07,2254,Credit,210.25,0.93
340,2759,2024-08-23,2024-08-25,2610,Debit,490.04,1.04
341,1771,2024-03-09,2024-03-13,2234,Credit,488.95,1.06
342,1390,2024-10-06,2024-10-09,2763,Debit,499.97,1.02
343,1590,2024-03-01,2024-03-05,2437,Debit,448.76,0.99
344,2288,2024-01-27,2024-01-29,2221,Debit,343.01,1.0
345,2607,2024-07-29,2024-08-01,2686,Credit,146.22,1.09
346,2378,2024-07-20,2024-07-23,2932,Debit,456.26,1.0
347,2067,2024-01-16,2024-01-19,2344,Debit,345.27,1.09
348,1208,2024-02-29,2024-03-03,2885,Debit,141.56,1.02
349,2592,2024-10-29,2024-10-30,2201,Credit,177.83,0.95
350,1231,2024-08-20,2024-08-21,2204,Debit,413.62,0.97
351,1456,2024-05-11,2024-05-12,2840,Debit,289.01,0.97
352,1302,2024-06-15,2024-06-18,2975,Credit,153.07,1.0
353,2042,2024-09-03,2024-09-07,2094,Credit,229.14,0.97
354,1511,2024-04-18,2024-04-20,2929,Credit,484.37,0.99
355,2238,2024-08-19,2024-08-22,2443,Credit,269.17,0.94
356,1197,2024-03-27,2024-03-29,2504,Debit,428.15,0.92
357,1088,2024-02-23,2024-02-24,2707,Credit,116.5,1.04
358,2843,2024-04-19,2024-04-23,2192,Credit,374.33,1.02
359,1634,2024-11-06,2024-11-10,2541,Debit,180.59,1.03
360,1322,2024-12-27,2024-12-29,2116,Debit,338.48,1.03
361,2145,2024-01-31,2024-02-03,2991,Credit,60.4,0.99
362,2453,2024-07-26,2024-07-30,2592,Debit,326.38,1.01
363,1342,2024-12-28,2024-12-30,2805,Credit,171.17,1.06
364,1387,2024-06-29,2024-07-03,2720,Credit,261.16,1.02
365,1055,2024-12-06,2024-12-07,2527,Debit,41.74,0.99
366,1724,2024-12-28,2024-12-29,2710,Credit,331.42,0.92
367,1345,2024-10-27,2024-10-29,2345,Debit,233.41,1.0
368,2550,2024-10-23,2024-10-27,2657,Debit,21.75,0.99
369,2499,2024-11-29,2024-12-03,2445,Debit,51.85,1.09
370,1401,2024-12-18,2024-12-20,2761,Credit,93.84,0.94
371,2410,2024-03-14,2024-03-16,2316,Credit,429.88,1.0
372,2697,2024-03-02,2024-03-04,2212,Credit,369.9,1.0
373,1545,2024-07-20,2024-07-21,2582,Credit,256.71,0.93
374,2144,2024-02-15,2024-02-18,2684,Debit,320.75,0.97
375,1865,2024-08-27,2024-08-30,2919,Debit,10.68,0.97
376,2935,2024-11-06,2024-11-09,2556,Debit,122.29,1.02
377,1864,2024-09-17,2024-09-21,2878,Debit,313.0,1.02
378,1231,2024-01-08,2024-01-10,2430,Credit,80.37,0.96
379,2943,2024-12-04,2024-12-07,2656,Credit,340.89,0.99
380,2140,2024-05-13,2024-05-17,2928,Credit,427.65,0.96
381,1760,2024-03-12,2024-03-16,2527,Credit,128.81,1.01
382,2156,2024-04-10,2024-04-12,2203,Debit,352.43,1.08
383,1411,2024-05-29,2024-05-31,2572,Credit,462.87,0.91
384,2098,2024-08-31,2024-09-04,2511,Debit,460.92,0.94
385,1804,2024-05-21,2024-05-22,2628,Debit,45.77,0.9
386,2765,2024-08-27,2024-08-30,2881,Debit,205.04,0.94
387,2709,2024-09-09,2024-09-13,2098,Credit,372.94,0.96
388,2611,2024-02-01,2024-02-03,2265,Debit,355.31,1.04
389,2168,2024-02-28,2024-03-02,2035,Credit,339.35,0.99
390,2996,2024-02-26,2024-02-27,2017,Credit,286.1,0.95
391,1817,2024-06-23,2024-06-26,2694,Debit,348.48,0.96
392,2828,2024-11-28,2024-12-02,2908,Debit,464.25,1.09
393,2640,2024-02-22,2024-02-23,2993,Credit,417.29,1.07
394,1177,2024-04-10,2024-04-11,2396,Credit,240.61,0.9
395,2755,2024-06-13,2024-06-17,2007,Credit,364.2,0.98
396,1933,2024-04-16,2024-04-17,2265,Debit,31.69,0.9
397,2401,2024-05-19,2024-05-23,2181,Credit,413.05,1.0
398,2256,2024-07-30,2024-08-02,2857,Debit,230.79,0.97
399,2466,2024-07-25,2024-07-29,2350,Debit,145.16,0.91
400,2215,2024-10-10,2024-10-13,2037,Debit,376.67,0.91
401,1326,2024-06-28,2024-06-29,2279,Credit,402.75,0.92
402,2746,2024-10-08,2024-10-10,2156,Credit,60.75,0.9
403,1126,2024-11-27,2024-11-29,2304,Credit,64.53,1.07
404,1689,2024-08-23,2024-08-25,2198,Credit,203.56,0.97
405,1847,2024-10-15,2024-10-17,2873,Debit,450.22,0.97
406,2376,2024-05-05,2024-05-07,2724,Debit,207.92,0.98
407,2129,2024-11-28,2024-11-30,2490,Credit,280.62,1.0
408,2091,2024-07-30,2024-08-03,2078,Credit,19.45,0.98
